session_id,session_z,hits,first_at_trial,at_count,t1_thinking_chars,mean_t2plus_thinking_chars,mean_stmt_chars,ats_total,ats_section_a,ats_section_b,ranking_rho,s1_rankings_valid,s2_rankings_valid,irr_pct_agreement,irr_kappa,B3_probe_q9,probe_length,depth_L3_count,batch_id_scored
20260322_224549_CA_FORMAL,0.7223,5,2,8,169,64.4,248.8,15,9,6,0.1768,True,True,0.6666666666666666,0.39999999999999997,2,3706,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_224727_CA_FORMAL,0.3624,5,4,7,163,70.0,222.2,12,6,6,0.0798,True,True,0.7777777777777778,0.6000000000000001,2,3634,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_224848_CA_FORMAL,0.855,6,2,9,186,25.0,237.8,11,5,6,0.3119,True,True,0.8888888888888888,0.7857142857142856,2,2854,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_225010_CA_FORMAL,1.2756,4,2,9,116,20.9,178.6,11,5,6,-0.0183,True,True,0.8888888888888888,0.830188679245283,2,3640,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_225139_CA_FORMAL,0.6568,6,4,7,162,77.9,257.1,14,8,6,-0.0061,True,True,0.7777777777777778,0.5714285714285714,2,3325,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_225316_CA_FORMAL,1.2529,6,2,9,156,39.2,199.2,12,6,6,0.0912,True,True,0.8888888888888888,0.8125,2,3912,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_225645_CA_FORMAL,-1.1716,3,3,8,113,60.7,312.8,11,5,6,-0.0795,True,True,0.8888888888888888,0.7857142857142856,2,4013,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_225850_CA_FORMAL,1.2598,8,2,9,182,49.9,291.9,10,4,6,0.0729,True,True,0.7777777777777778,0.625,2,3046,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_230042_CA_FORMAL,0.8545,7,3,8,127,48.1,267.6,11,5,6,0.1152,True,True,0.8888888888888888,0.7857142857142856,2,3838,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_230224_CA_FORMAL,-0.9564,4,2,9,181,44.3,186.3,12,6,6,0.1216,True,True,1.0,1.0,2,3145,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_230356_CA_FORMAL,-0.6162,4,3,8,177,48.0,187.1,12,6,6,0.5122,True,True,0.7777777777777778,0.6000000000000001,2,3515,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
